,mobile_custom_button_click_counts_0_custom_button_type,mobile_custom_button_click_counts_0_clicks,careers_page_clicks_careers_page_promo_links_clicks,careers_page_clicks_careers_page_banner_promo_clicks,careers_page_clicks_careers_page_jobs_clicks,careers_page_clicks_careers_page_employees_clicks,desktop_custom_button_click_counts_0_custom_button_type,desktop_custom_button_click_counts_0_clicks,mobile_careers_page_clicks_careers_page_jobs_clicks,mobile_careers_page_clicks_careers_page_promo_links_clicks,mobile_careers_page_clicks_careers_page_employees_clicks,mobile_products_page_views_page_views,mobile_products_page_views_unique_page_views,all_desktop_page_views_page_views,all_desktop_page_views_unique_page_views,insights_page_views_page_views,insights_page_views_unique_page_views,mobile_about_page_views_page_views,mobile_about_page_views_unique_page_views,all_mobile_page_views_page_views,all_mobile_page_views_unique_page_views,desktop_products_page_views_page_views,desktop_products_page_views_unique_page_views,products_page_views_page_views,products_page_views_unique_page_views,jobs_page_views_page_views,jobs_page_views_unique_page_views,people_page_views_page_views,people_page_views_unique_page_views,overview_page_views_page_views,overview_page_views_unique_page_views,mobile_overview_page_views_page_views,mobile_overview_page_views_unique_page_views,life_at_page_views_page_views,life_at_page_views_unique_page_views,desktop_overview_page_views_page_views,desktop_overview_page_views_unique_page_views,mobile_careers_page_views_page_views,mobile_careers_page_views_unique_page_views,all_page_views_page_views,all_page_views_unique_page_views,mobile_jobs_page_views_page_views,mobile_jobs_page_views_unique_page_views,careers_page_views_page_views,careers_page_views_unique_page_views,mobile_life_at_page_views_page_views,mobile_life_at_page_views_unique_page_views,desktop_jobs_page_views_page_views,desktop_jobs_page_views_unique_page_views,desktop_people_page_views_page_views,desktop_people_page_views_unique_page_views,about_page_views_page_views,about_page_views_unique_page_views,desktop_about_page_views_page_views,desktop_about_page_views_unique_page_views,mobile_people_page_views_page_views,mobile_people_page_views_unique_page_views,desktop_insights_page_views_page_views,desktop_insights_page_views_unique_page_views,desktop_careers_page_views_page_views,desktop_careers_page_views_unique_page_views,desktop_life_at_page_views_page_views,desktop_life_at_page_views_unique_page_views,mobile_insights_page_views_page_views,mobile_insights_page_views_unique_page_views,time_range_start,time_range_end,organization
0,VIEW_WEBSITE,2,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,16,6,0,0,0,0,16,6,0,0,0,0,1,1,11,0,19,12,10,6,0,0,9,6,1,1,32,12,1,1,1,1,0,0,0,0,6,4,1,1,1,1,5,1,0,0,0,0,0,0,0,0,2023-03-28,2023-03-29,urn:li:organization:30216658
1,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,5,3,0,0,0,0,4,1,0,0,0,0,1,1,2,0,5,4,2,1,0,0,3,3,0,0,9,4,0,0,1,1,0,0,1,1,0,0,1,1,1,1,2,1,0,0,1,1,0,0,0,0,2023-03-29,2023-03-30,urn:li:organization:30216658
2,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,1,0,0,0,0,0,15,9,0,0,1,1,7,3,0,0,0,0,2,2,4,0,12,11,4,3,0,0,8,8,1,1,22,12,1,1,2,2,0,0,1,1,3,4,4,3,3,3,1,1,0,0,1,1,0,0,0,0,2023-03-30,2023-03-31,urn:li:organization:30216658
3,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,14,5,0,0,3,2,34,8,0,0,0,0,5,5,7,0,33,13,24,8,0,0,9,5,2,2,48,13,2,2,5,5,0,0,3,3,2,2,3,0,0,0,5,3,0,0,3,3,0,0,0,0,2023-03-31,2023-04-01,urn:li:organization:30216658
4,VIEW_WEBSITE,1,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,2,2,0,0,0,0,3,2,0,0,0,0,1,1,0,0,4,4,2,2,0,0,2,2,1,1,5,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-04-01,2023-04-02,urn:li:organization:30216658
5,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,0,0,0,0,2,2,0,0,4,2,0,0,1,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2023-04-02,2023-04-03,urn:li:organization:30216658
6,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0,6,4,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2023-04-03,2023-04-04,urn:li:organization:30216658
7,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,2,2,0,0,6,5,0,0,0,0,6,5,0,0,9,5,0,0,2,2,0,0,2,2,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,2023-04-04,2023-04-05,urn:li:organization:30216658
8,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,1,0,0,0,0,0,11,6,0,0,0,0,2,1,0,0,0,0,0,0,0,0,11,7,2,1,0,0,9,6,0,0,13,7,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,2023-04-05,2023-04-06,urn:li:organization:30216658
9,VIEW_WEBSITE,0,0,0,0,0,VIEW_WEBSITE,0,0,0,0,0,0,8,4,0,0,0,0,1,1,0,0,0,0,1,1,0,0,6,4,0,0,0,0,6,4,1,1,9,5,1,1,1,1,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2023-04-06,2023-04-07,urn:li:organization:30216658
